ID,attachment_elastic_constant,attachment_rate,calcification_rate,calcified_fraction,cancer_cell_attack_rates,cancer_cell_cell_adhesion_affinities,cancer_cell_fusion_rates,cancer_cell_live_phagocytosis_rates,cancer_cell_transformation_rates,cell_BM_adhesion_strength,cell_BM_repulsion_strength,cell_cell_adhesion_strength,cell_cell_repulsion_strength,cell_count_voxel,cell_density_micron3,cell_type,chemotaxis_direction,chemotaxis_index,contact_with_basement_membrane,current_cycle_phase_exit_rate,current_death_model,current_phase,cycle_model,cytoplasmic_biomass_change_rate,cytoplasmic_volume,damage,damage_rate,dead,dead_phagocytosis_rate,death_rates_0,death_rates_1,detachment_rate,elapsed_time_in_phase,fluid_change_rate,fluid_fraction,generation,is_motile,maximum_number_of_attachments,mesh_center_m,mesh_center_n,mesh_center_p,migration_bias,migration_bias_direction_vectorlength,migration_bias_direction_x,migration_bias_direction_y,migration_bias_direction_z,migration_speed,motility_vector_vectorlength,motility_vector_x,motility_vector_y,motility_vector_z,nuclear_biomass_change_rate,nuclear_radius,nuclear_volume,number_of_nuclei,oncoprotein,orientation_vectorlength,orientation_x,orientation_y,orientation_z,oxygen,oxygen_chemotactic_sensitivities,oxygen_decay_rate,oxygen_diffusion_coefficient,oxygen_fraction_released_at_death,oxygen_fraction_transferred_when_ingested,oxygen_internalized_total_substrates,oxygen_net_export_rates,oxygen_saturation_densities,oxygen_secretion_rates,oxygen_uptake_rates,parent_ID,persistence_time,polarity,position_vectorlength,position_x,position_y,position_z,pressure,radius,relative_maximum_adhesion_distance,runtime,surface_area,target_fluid_fraction,target_solid_cytoplasmic,target_solid_nuclear,time,total_attack_time,total_volume,tree_ID,velocity_vectorlength,velocity_x,velocity_y,velocity_z,voxel_i,voxel_j,voxel_k
901,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00015492109306533298,0,live,live_cells_cycle_model,0.0045,919.9594075620655,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,35.99999999996726,0.05,0.7156817851655979,2.0,False,12,-230.0,70.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,3.991732803434438,266.4237877155251,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.208559455260696,0.0,0.1,100000.0,0.0,0.0,49033395.31714552,0.0,1.0,0.0,10.0,901.1,1.0,1.0,234.1729879251127,-222.0193371296608,74.4607427728262,0.0,0.7428303704582228,6.567178069530055,1.25,0.85548745,541.9602678883143,0.75,488.5,135.0,600.0,0.0,1186.3831952775906,901.2,0.0,0.0,0.0,0.0,38,53,0
920,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00016322941096637322,0,live,live_cells_cycle_model,0.0045,919.9594075620655,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,35.99999999996726,0.05,0.7156817851655979,2.0,False,12,-230.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,3.991732803434438,266.4237877155251,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.488478491434028,0.0,0.1,100000.0,0.0,0.0,49188913.110965945,0.0,1.0,0.0,10.0,901.1,1.0,1.0,240.46840033155098,-224.45928790694788,86.27328456898435,0.0,0.6616069448088941,6.567178069530055,1.25,0.85548745,541.9602678883143,0.75,488.5,135.0,600.0,0.0,1186.3831952775906,920.2,0.0,0.0,0.0,0.0,38,54,0
920,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.0001618773658331571,0,live,live_cells_cycle_model,0.0045,1088.1741246368392,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,95.99999999991269,0.05,0.7098558234450134,2.0,False,12,-230.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.242382801421453,319.8292427224277,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.429255904727034,0.0,0.1,100000.0,0.0,0.0,57522051.17527579,0.0,1.0,0.0,10.0,901.1,1.0,1.0,240.39529549872958,-224.60384290848944,85.69137557922684,0.0,0.47744047620897,6.952991440059644,1.25,0.9233427833333334,607.5097515209319,0.75,488.5,135.0,660.0,0.0,1408.003367359267,920.2,0.0,0.0,0.0,0.0,38,54,0
901,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00015358183502430707,0,live,live_cells_cycle_model,0.0045,1088.1741246368392,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,95.99999999991269,0.05,0.7098558234450134,2.0,False,12,-230.0,70.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.242382801421453,319.8292427224277,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.153860959052153,0.0,0.1,100000.0,0.0,0.0,57039984.680951804,0.0,1.0,0.0,10.0,901.1,1.0,1.0,233.46808958311792,-221.76696992176687,72.98465527293337,0.0,0.6757608685319705,6.952991440059644,1.25,0.9233427833333334,607.5097515209319,0.75,488.5,135.0,660.0,0.0,1408.003367359267,901.2,0.0,0.0,0.0,0.0,38,53,0
922,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00013053010759608256,0,live,live_cells_cycle_model,0.0045,657.375053552818,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,35.99999999996726,0.05,0.6850033516293551,2.0,False,12,210.0,130.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,3.587391826730724,193.386009697149,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.482067102546662,0.0,0.1,100000.0,0.0,0.0,47026797.33402603,0.0,1.0,0.0,10.0,922.1,1.0,1.0,246.67100077839905,212.0517292386239,126.0184381427031,0.0,0.9759283871659264,5.8781364791810615,1.25,0.9906373833333333,434.1993757357406,0.75,488.5,135.0,720.0,0.0,850.761063249967,922.2,0.0,0.0,0.0,0.0,60,56,0
920,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00016027352204452575,0,live,live_cells_cycle_model,0.0045,1259.9587809570403,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,155.99999999985812,0.05,0.7166946355883894,2.0,False,12,-230.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.4555664333663225,370.5078208546896,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.39106912643433,0.0,0.1,100000.0,0.0,0.0,67261155.73916452,0.0,1.0,0.0,10.0,901.1,1.0,1.0,240.47704260790672,-224.82731997562345,85.33395698093234,0.0,0.4366140792724979,7.301427311058458,1.25,0.9906373833333333,669.923782987864,0.75,488.5,135.0,720.0,0.0,1630.46660181173,920.2,0.0,0.0,0.0,0.0,38,54,0
901,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.0001521813096262642,0,live,live_cells_cycle_model,0.0045,1259.9587809570403,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,155.99999999985812,0.05,0.7166946355883894,2.0,False,12,-230.0,70.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.4555664333663225,370.5078208546896,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.119337630466626,0.0,0.1,100000.0,0.0,0.0,66393718.87507892,0.0,1.0,0.0,10.0,901.1,1.0,1.0,232.9727141500055,-221.6146785372018,71.85554811754528,0.0,0.5445149933626843,7.301427311058458,1.25,0.9906373833333333,669.923782987864,0.75,488.5,135.0,720.0,0.0,1630.46660181173,901.2,0.0,0.0,0.0,0.0,38,53,0
924,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00012252892273767417,0,live,live_cells_cycle_model,0.0045,657.375053552818,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,35.99999999996726,0.05,0.6850033516293551,2.0,False,12,210.0,110.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,3.587391826730724,193.386009697149,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.143673848123075,0.0,0.1,100000.0,0.0,0.0,46899010.4448165,0.0,1.0,0.0,10.0,922.1,1.0,1.0,246.28130786425575,217.00124792457336,116.46862668764565,0.0,0.7980860489415085,5.8781364791810615,1.25,0.9906373833333333,434.1993757357406,0.75,488.5,135.0,720.0,0.0,850.761063249967,924.2,0.0,0.0,0.0,0.0,60,55,0
922,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00012951020614980792,0,live,live_cells_cycle_model,0.0045,874.0653448388359,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,95.99999999991269,0.05,0.686294028461557,2.0,False,12,210.0,130.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,3.9708507707946175,262.26437853626084,1,1.0908689641279365,1.0,0.0,0.0,1.0,10.432674173346342,0.0,0.1,100000.0,0.0,0.0,53385525.761017345,0.0,1.0,0.0,10.0,922.1,1.0,1.0,247.52655391265503,212.78118306636233,126.46565946830674,0.0,0.961984972564892,6.47349155589854,1.25,1.0622592499999999,526.6074946863991,0.75,488.5,135.0,780.0,0.0,1136.3297233750968,922.2,0.0,0.0,0.0,0.0,60,56,0
920,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,100.0,0.4,10.0,2,0.00025,cancer_cell,1.0,0,False,0.00016001412844900972,0,live,live_cells_cycle_model,0.0045,1410.4480245988443,0.0,1.0,False,0.0,5.31667e-05,0.0,0.0,215.99999999980355,0.05,0.7246595882129439,2.0,False,12,-230.0,90.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0055,4.618606116489194,412.6875701143275,1,1.3623207638619208,1.0,0.0,0.0,1.0,10.37903034883445,0.0,0.1,100000.0,0.0,0.0,78300295.57358019,0.0,1.0,0.0,10.0,901.1,1.0,1.0,240.66607522051433,-225.10745488380437,85.12810063534975,0.0,0.4300929371027705,7.578387134058044,1.25,1.0622592499999999,721.711188329169,0.75,488.5,135.0,780.0,0.0,1823.135594713172,920.2,0.0,0.0,0.0,0.0,38,54,0
