0: 31,33,2,32,34
1: 31,32,35,97
2: 4,37,38,34,0,33
3: 36,106,102,5,35,44
4: 2,37,42,6,41,38
5: 39,35,3,44,7
6: 8,45,41,42,4
7: 47,9,5,44,48
8: 6,45,116,943,49
9: 7,47,48,1000,11,51
983: 340,342,400,454,516,402
11: 51,55,13,9,56,1000
1040: 553,561,557,615,611
13: 11,55,56,15,59
14: 
15: 63,59,13,64,17
16: 18,906,66,62,61
17: 19,67,64,63,15,68
18: 906,20,16,74,66,70
19: 17,67,68,72,75
20: 18,906,73,74,135,65
916: 809,773,995,727,769,843
994: 782,818,903,860,826
23: 25,79,80,935,141
24: 930,81,82,1028,948
25: 79,80,23,984,83
26: 152,961,1028,148,930
27: 29,87,88,83,984
28: 30,961,85,93,151,89
29: 87,88,27,91
30: 28,961,93,94
31: 0,1,33
32: 98,96,34,0,1,36
33: 0,31,2,37,99,95
34: 32,96,38,100,2,0
35: 39,5,97,1,36,3
36: 102,3,32,98,35
37: 2,4,41,99,103,33
38: 104,100,42,2,4,34
39: 5,35,97,101,105
946: 978,819,972,779,1008
41: 6,45,4,37,103
42: 108,6,38,104,4
1051: 838,842,1032,1007,804
44: 48,110,106,3,5,7
45: 6,8,41,49,111
46: 
47: 7,9,109,113,51
48: 44,110,900,7,9,1000
49: 943,53,115,8,45,111
1021: 
51: 11,55,47,9,113,117
52: 56,118,1000,900,178,182
53: 943,49,115,119
54: 120,116,58,943
55: 11,51,13,117,59,121
56: 52,118,1000,11,13
57: 
58: 62,120,54
59: 63,15,55,13,121
1013: 275,331,271,213,335,959
61: 906,16,123,939
62: 58,66,128,16
63: 15,59,17,67,942
64: 126,15,68,130,17
65: 131,127,135,906,20,939
66: 70,132,128,18,16,62
67: 17,19,63,942,129
68: 72,130,64,17,19
1006: 1039,566,510
70: 66,132,136,74,18
71: 141,75,129,137,133
72: 68,19,911,75
73: 948,74,944,139,135,20
74: 73,944,70,18,20
75: 935,141,71,72,19
76: 960,146,911,970,935,80
1002: 611,667,898,980,615,663
1057: 389,445,503,449
79: 25,23,894,145
80: 25,23,984,960,76
81: 24,930,85,143,147,948
82: 24,1028,208,144,944
83: 87,27,25,145,149
84: 987,154,960,984,88
85: 28,961,151,930,81,147
923: 624,622,670,572,628,1022
87: 29,27,83,153,149,91
88: 29,27,84,1011
89: 151,93,907,277,28
940: 965,754,706,660,656
91: 29,87,153
92: 993,899,1011
93: 907,28,30,89
94: 30
95: 998,157,99,159,33
96: 32,98,34,100,160
97: 39,35,1,998,101
98: 32,96,162,36,102
99: 103,163,159,37,33,95
100: 38,104,164,160,96,34
101: 105,161,165,998,39,97
102: 36,106,3,98,162,166
103: 99,163,41,167,37
104: 38,100,108,42,164,168
105: 101,165,39,109
106: 102,3,166,170,44,110
1033: 872,876,1056
108: 112,42,172,168,104
109: 921,231,113,105,47
110: 44,48,900,106,170,174
111: 171,49,115,175,45
112: 108,1027,176,172
113: 109,921,47,51,117,173
934: 267,327,263,323
