0: 31,2,33,34
1: 31
2: 37,33,38,34,0
3: 36,106,102,5,35
1076: 876
5: 39,35,3,7
6: 8,45,41,42
7: 9,5,48
8: 6,45,943,49
9: 7,48,11,51
983: 340,400,454,516,402
11: 51,1088,13,9
1040: 497,557,615,611,1172
13: 11,1088,56,15
1024: 820,1143,1035,854,882,850
15: 126,64,56,13,17
16: 1140,66,906,62
17: 63,64,15,67,1238
18: 70
1081: 1162,393,335
20: 906,1164,65
916: 1113,773,805,769
994: 782,818,903,860,826
23: 25,80,137,935,141
989: 881,873,887,904
25: 23,80,137,83
26: 1165,30,961
27: 29,87,83,984,88
28: 93,1195,907,277,1129,151
29: 87,27,88,1123,1103
30: 1142,94,1195,26,961
31: 0,1,33
1260: 1199,671,453,569
33: 2,37,0,31,95
34: 96,38,100,2,0
35: 39,5,97,36,3
36: 102,3,98,35
37: 2,33,41,103
38: 104,100,42,2,34
39: 5,35,97,101,105
946: 1188,819,972,1008,978,779
41: 6,45,37,103
42: 108,6,38,104
1051: 1007,842,1032,838
44: 
45: 6,8,41,49,111
1066: 1206,1267,323,437,441
1208: 596,652,592,542,538,1201
48: 110,7,9,900
49: 943,53,8,45,111
1070: 661,1261,617,1226
51: 11,1088,9,117,55
52: 56,118,900,178
53: 943,49,119
54: 58,943
55: 117,177,51,1088,181
56: 52,118,13,126,15
1116: 950,954,725,721,1058
58: 62,184,128,54
1104: 1001,886
1013: 1162,331,271,213,275,959
1089: 477,541,1042,595,985,537
62: 58,66,1130,16
63: 17,125,67,942
64: 126,15,130,17,1073,1238
65: 131,127,1164,906,20,939
66: 70,132,1130,62,16
67: 129,1238,63,17,942
1198: 660,546,490,486,596
1006: 1175,1203,396
70: 66,132,144,18
1217: 911,75,935,1111,970
72: 1073,1238,911,75
1261: 661,1070,1023,1101
1266: 194,256,1111,911
75: 911,1217,935,72,141
76: 960,146,970,935,80
1002: 1223,980,611,663
1057: 1267,441,503,1245
1091: 961,1165,81
80: 25,23,960,76,984
81: 1112,85,1091,1149
82: 1028,1029,1112,1248
83: 87,27,25,145,149
84: 1011,154,987,88,960,984
85: 1129,151,147,81,1149
923: 624,670,572,628,1022
87: 29,83,27,153,149,1103
