0: 31,2,34
1: 31
2: 37,33,38,34,0
3: 36,106,102,5,35
1076: 876
5: 39,35,3,7
6: 8,45,41,42
7: 9,5,48
8: 6,45,943,49
9: 7,48,51
983: 340,400,454,1279,402
1293: 1267,1057,1066,441
1040: 611,1172,557,615,497
13: 1088,56,15
1024: 820,1143,1035,854,882,850
15: 126,64,56,13,17
16: 1140,66,906,62
17: 63,64,15,1238,67,1275
1268: 200,204,1180,1096,1029,140
1081: 393,335,1162
20: 906,70,65,1164
916: 1113,773,805,769
994: 782,818,903,860,826,744
23: 25,80,137,935,141,76
989: 881,873,887,904
25: 23,80,137,83
26: 1165,94,30,961
27: 29,87,83,88,984
28: 93,1278,277,1129,151
29: 87,27,88,1123,1103
30: 1142,94,1195,1278,26,961
31: 0,1,33
1260: 1199,671,453,625,569
33: 2,37,31,95
34: 96,38,100,2,0
35: 39,5,97,36,3
36: 102,3,98,35
37: 2,33,41,103
38: 104,100,42,2,34
39: 5,35,97,101,105
946: 1188,978,1008,1301,779
41: 6,45,37,103
42: 6,38,104
1051: 1007,1032,842,1207
1274: 858,1294
45: 6,8,41,49,111
1066: 975,437,441,323,1293
1208: 596,652,592,538,1201
48: 110,900,7,9
49: 943,53,8,45,111
1070: 1286,1261,1226
51: 1088,9,117,55
52: 56,118,900,178
53: 943,49,119
54: 58,943
55: 117,51,1088,181
56: 52,118,13,126,15
1116: 763,725,1276,954,721
58: 62,128,54,184
1104: 1001,1252,886
1013: 271,331,213,275,959,1162
1089: 477,541,1042,595,985,537
62: 58,66,1130,16
63: 17,125,67
64: 126,15,130,17,1073,1238
65: 131,127,1164,20,906,939
66: 1130,132,70,62,16
67: 129,1275,63,17,942
1198: 660,546,490,486,596
1006: 1175,1203,396
70: 20,144,944,66,132
1217: 911,75,935,1282,970
72: 1238,1275,911,75
1261: 1101,1258,1023,661,1070
1266: 194,256,1073,1111,911
75: 911,1217,935,72,141
76: 960,146,970,935,23,80
1002: 980,1223,611,663
1057: 1267,1293,503,1245
1091: 961,1165,81
80: 25,23,960,76,984
81: 1112,85,1091,1149
82: 1028,1029,1112,1248
83: 87,27,25,145,149
84: 1011,154,987,88,984,960
85: 1129,151,147,81,1149
